Number,Hotel Names,Hotel Ratings,Number of Reviews,Hotel Prices
294,Coup de cœur à Montmartre,6.8,76 reviews,$317
295,Le Relais Montmartre,9.0,"1,411 reviews",$317
296,Hôtel le 209 Paris Bercy,8.3,"3,191 reviews",$317
297,Hôtel Piapia,8.6,"2,805 reviews",$318
298,Résidence du Pré,8.1,"2,650 reviews",$318
299,Hôtel Basss,8.3,664 reviews,$318
300,Eiffel Tower Royal Apartment,8.2,46 reviews,$318
301,The ReMIX Hotel,8.1,"7,122 reviews",$319
302,Hôtel des Métallos,7.8,759 reviews,$319
303,Hotel Opéra d'Antin,7.8,"1,036 reviews",$319
304,Hôtel Gérando,8.1,"2,331 reviews",$320
305,Pick A Flat's Apartments in Champs Elysées - Rue du Colisée,8.7,115 reviews,$321
306,Hôtel Beauquartier Moulin Rouge,8.1,423 reviews,$321
307,Best Western Hotel Opéra Drouot,7.9,"1,717 reviews",$321
308,Hotel Meslay Republique,8.0,"2,565 reviews",$322
309,Le Robinet d'Or,8.9,"1,026 reviews",$322
310,Trianon Gare de Lyon,7.5,"2,294 reviews",$322
311,Hôtel des 3 Poussins,8.7,"1,610 reviews",$322
312,Saphir Grenelle,7.1,"1,261 reviews",$322
313,Hôtel Beauregard,8.4,400 reviews,$322
314,Hotel Minerve,8.3,"2,513 reviews",$323
315,Residhome Paris Gare de Lyon - Jacqueline de Romilly,8.1,"1,553 reviews",$323
316,Best Western Hotel Le Montparnasse,7.2,"1,955 reviews",$323
317,Timhotel Montmartre,8.3,"2,229 reviews",$323
318,Hotel Ernest,8.8,"1,189 reviews",$323
319,Hôtel de Sévigné,8.5,"1,720 reviews",$324
320,Hotel Regence Paris,6.6,358 reviews,$324
321,Panam Hotel PARIS GAMBETTA- Place Gambetta-Mairie du 20 emme,6.5,202 reviews,$324
322,Timhotel Palais Royal,7.9,"1,126 reviews",$324
323,ibis Paris Avenue de la Republique,8.0,691 reviews,$324
324,OKKO Hotels Paris Rosa Parks,8.2,489 reviews,$325
325,Amazing appartement - 8P - Le Bon Marché,unrated,31 external reviews,$325
326,Central Hotel Paris,7.7,"1,490 reviews",$325
327,Aparthotel Adagio Paris Montmartre,8.4,"3,028 reviews",$325
328,Hotel Danemark,7.9,754 reviews,$325
329,WAGRAM ARC DE TRIOMPHE PARIS,7.5,17 reviews,$325
330,Villa Royale Montsouris,7.6,226 reviews,$326
331,"Holiday Inn Paris Opéra - Grands Boulevards, an IHG Hotel",8.2,"1,362 reviews",$326
332,Avalon Cosy Hotel Paris,8.3,"1,092 reviews",$326
333,Novotel Paris 14 Porte d'Orléans,8.1,"4,190 reviews",$326
334,L'Adresse,7.2,965 reviews,$326
335,Hôtel Charing Cross,8.0,"1,948 reviews",$326
336,Hotel Chabrol Opera,7.4,"1,462 reviews",$326
337,Jardin de Villiers,8.4,497 reviews,$326
338,Hôtel Quartier Latin,8.2,516 reviews,$326
339,Maison Axel Opéra,8.5,896 reviews,$327
340,Best Western Premier Faubourg 88,8.2,772 reviews,$327
341,Hôtel Mondial,7.4,"2,120 reviews",$327
342,Appartement Quartier Canal Saint Martin,8.8,4 reviews,$328
343,Appartement Quartier Chatelet Les Halles,7.1,106 reviews,$328
344,Appartement Quartier Montmartre 2,7.8,27 reviews,$328
345,Appartement Quartier Republique,7.9,17 reviews,$328
346,ibis Paris Place d’Italie 13ème,7.9,"1,713 reviews",$328
347,Hotel Riviera Renovated,6.8,261 reviews,$329
348,Hôtel Le Cardinal by Happyculture,8.1,"2,386 reviews",$329
349,Cosy 3 bedroom 2 bathroom - Eiffel Tower,8.3,21 reviews,$329
350,Alizé Grenelle Tour Eiffel,7.8,912 reviews,$329
351,Montparnasse Alésia,8.1,"2,572 reviews",$329
352,Timhotel Opéra Blanche Fontaine,8.0,"1,642 reviews",$330
353,Adagio Paris 19ème Cité de la Musique,7.5,"1,623 reviews",$330
354,Hotel Astoria - Astotel,8.4,"1,372 reviews",$330
355,Hôtel La Parizienne,8.0,490 reviews,$331
356,Résidence du Forum des Halles,7.9,539 reviews,$332
357,Hotel Eiffel Segur,7.8,"2,277 reviews",$332
358,Mercure Paris Porte De Versailles Expo,8.3,"1,883 reviews",$332
359,Paris Bastille,8.2,"1,857 reviews",$332
360,Hotel du Pré,8.3,"2,188 reviews",$332
361,Timhotel Tour Eiffel,7.2,"1,468 reviews",$333
362,Hôtel Eugénie,7.9,"1,826 reviews",$333
363,Luxury 2 Bedroom 1 Bathroom - Louvre Museum & Opera,9.5,2 reviews,$334
364,Hôtel Albert 1er Paris Lafayette,7.8,"1,152 reviews",$334
365,Jardins de Montmartre,7.7,"1,737 reviews",$334
366,Hotel Trema,8.0,"1,652 reviews",$334
367,Hôtel Des Trois Gares,7.8,951 reviews,$334
368,Amazing Résidence proche Galeries Lafayette,unrated,no review,$334
369,Aparthotel Adagio Paris XV,6.8,"2,111 reviews",$334
370,CAMBRONNE 2 TOUR EIFFEL PARIS,6.4,68 reviews,$335
371,Residhotel Imperial Rennequin,8.7,490 reviews,$335
372,Hôtel Prince Albert Concordia,8.3,"2,185 reviews",$335
373,Hôtel Ambre,7.5,"2,192 reviews",$336
374,ibis Paris Bastille Faubourg St Antoine,8.2,"1,662 reviews",$337
375,Charmant haussmanien à Monceau,unrated,no review,$338
376,ibis Paris Bastille Faubourg St Antoine,8.2,"1,662 reviews",$337
377,Charmant haussmanien à Monceau,unrated,no review,$338
378,"Holiday Inn Paris Gare de l'Est, an IHG Hotel",7.7,"5,931 reviews",$338
379,Hôtel Aiglon,8.7,"1,463 reviews",$338
380,Odalys City Paris XVII,7.5,"3,770 reviews",$338
381,Hotel Imperial Paris,8.0,"1,323 reviews",$338
382,Citadines République Paris,7.9,"2,202 reviews",$338
383,Hotel Brady - Gare de l'Est,7.8,"2,518 reviews",$338
384,Hôtel du Plat d'Etain,8.6,"3,224 reviews",$338
385,Hôtel De La Herse d'Or,8.4,137 reviews,$338
386,Amazing apartment 8P 3B,4.0,1 review,$339
387,Joyful apartment 2BR6P Heart of Paris - Louvre,7.5,33 reviews,$340
388,CMG - Tour Eiffel - 75,7.1,32 reviews,$340
389,Apartments WS Opéra - Rossini,7.7,514 reviews,$341
390,ibis Styles Paris Maine Montparnasse,7.7,724 reviews,$341
391,Hotel George - Astotel,8.7,695 reviews,$341
392,Hôtel du Parc Montparnasse,8.0,988 reviews,$342
393,Apollinaire,8.2,"1,930 reviews",$342
394,Hôtel Soft,7.7,"1,596 reviews",$296
395,ibis Paris Montmartre Sacré-Coeur,7.2,"3,382 reviews",$342
396,Beaugrenelle St-Charles Tour Eiffel,8.0,"1,078 reviews",$342
397,Murat,7.5,"1,396 reviews",$342
398,Castex Hotel,7.4,"1,198 reviews",$342
399,Résidence Boulanger - République,unrated,13 external reviews,$343
400,Novotel Paris Centre Bercy,8.4,"4,102 reviews",$343
401,Hôtel des Comédies,8.1,"1,394 reviews",$343
402,Hotel Paix Republique,8.2,"2,356 reviews",$344
403,Best Western Bretagne Montparnasse,7.6,"1,038 reviews",$344
404,Appart'Hotel Avalon,6.7,257 reviews,$344
405,ibis Styles Paris Gare de l'Est TGV,7.8,"1,061 reviews",$344
406,Aparthotel Adagio Paris Bercy Village,7.8,"1,877 reviews",$345
407,"Holiday Inn Paris-Auteuil, an IHG Hotel",8.5,"1,254 reviews",$346
408,Hôtel Gaillon Opera,7.6,"1,301 reviews",$346
409,ibis Paris Opera La Fayette,7.8,"1,466 reviews",$346
410,Best appartement in the center of Paris,8.9,47 reviews,$346
411,Timhotel Tour Montparnasse,7.5,"1,575 reviews",$347
412,Prince Albert Lyon Bercy,8.1,"2,174 reviews",$347
413,Mercure Paris Bastille Marais,7.9,773 reviews,$347
414,Luxury 2 Bedroom 2 Bathroom Louvre & Notre Dame,7.9,67 reviews,$347
415,Happy Stay Paris - Bastille Family Apartment,unrated,83 external reviews,$347
416,Avia Hôtel Saphir Montparnasse,7.8,"1,145 reviews",$347
417,Hotel Aida Opera,8.2,"3,762 reviews",$347
418,Montparnasse Daguerre,8.0,"1,878 reviews",$348
419,Hotel Saint-Louis Pigalle,8.8,"2,214 reviews",$349
420,Novotel Suites Paris Montreuil Vincennes,7.7,"5,415 reviews",$349
421,Appart'City Collection Paris Grande Bibliothèque,7.3,"1,329 reviews",$349
422,Hotel London,7.7,"1,996 reviews",$349
423,Hotel Splendid,7.8,"1,484 reviews",$349
424,Champerret Heliopolis,8.5,"1,013 reviews",$349
425,ibis Paris Vaugirard Porte de Versailles,7.9,931 reviews,$349
426,Hotel Aida Marais,7.8,"3,497 reviews",$350
